feature,mean_abs_shap,rank
V4,0.7847804939405769,1
V8,0.24302908659256367,2
amount_v14,0.2294218131611497,3
V14,0.15956464130830655,4
time_sin,0.15652427460583748,5
V1,0.1464079512132038,6
V18,0.14064006693272266,7
V15,0.12584506743519255,8
V26,0.11788464203643573,9
V2,0.11071454636611407,10
V3,0.10911343049400697,11
V12,0.10904599006911708,12
V5,0.10543840827760632,13
V7,0.0944767736552272,14
V6,0.09323046045718211,15
V24,0.0866491191776965,16
time_cos,0.0717334617416919,17
V10,0.07077046614768943,18
V13,0.06813958243282091,19
V28,0.06365654340707105,20
v14_v10_interaction,0.060938965110072685,21
V21,0.06062679482156279,22
V20,0.0602081184343934,23
amount_log,0.059954955477342496,24
v10_v12_interaction,0.05944307125012585,25
V19,0.05681476313297153,26
V22,0.0566336642254762,27
V16,0.05540254106084225,28
V11,0.05478117424815336,29
V17,0.049470726349195616,30
V27,0.049101835476092474,31
V25,0.045851891107080524,32
v14_v12_interaction,0.041621556261137095,33
V9,0.03209631075274976,34
V23,0.030763000509621757,35
amount_squared,0.0,36
high_amount_flag,0.0,37
